time,CPU1,CPU2,CPU3,CPU4,CPU usage
2022-09-06 12:39:19,17.0,71.0,32.0,22.2,35.55
2022-09-06 12:39:21,20.8,25.3,95.0,18.2,39.824999999999996
2022-09-06 12:39:23,95.0,87.9,100.0,100.0,95.725
2022-09-06 12:39:25,15.3,9.3,17.6,16.7,14.725000000000001
2022-09-06 12:39:27,40.8,47.0,44.6,43.4,43.95
2022-09-06 12:39:29,18.2,18.2,14.1,19.2,17.425
2022-09-06 12:39:31,15.3,19.6,18.0,15.0,16.975
2022-09-06 12:39:33,26.5,24.2,30.7,32.0,28.35
2022-09-06 12:39:35,43.3,36.4,41.0,38.8,39.875
2022-09-06 12:39:37,41.0,29.6,38.2,40.0,37.2
2022-09-06 12:39:39,34.7,34.7,37.0,35.1,35.375
2022-09-06 12:39:41,40.6,39.0,40.0,36.0,38.9
2022-09-06 12:39:43,95.1,98.0,98.0,97.0,97.025
2022-09-06 12:39:45,64.4,53.1,58.8,52.0,57.075
2022-09-06 12:39:47,83.0,78.8,83.0,73.1,79.475
2022-09-06 12:39:49,51.0,56.4,48.5,52.6,52.125
2022-09-06 12:39:51,41.4,38.4,40.2,43.4,40.85
2022-09-06 12:39:53,70.0,75.8,86.9,85.0,79.42500000000001
2022-09-06 12:39:55,51.5,52.0,56.1,44.0,50.9
2022-09-06 12:39:57,38.8,40.0,34.0,45.5,39.575
2022-09-06 12:39:59,83.0,82.8,78.0,88.9,83.17500000000001
2022-09-06 12:40:01,42.3,48.0,50.5,46.9,46.925000000000004
2022-09-06 12:40:03,46.5,38.0,42.7,38.4,41.4
2022-09-06 12:40:05,85.9,94.1,88.9,81.8,87.675
2022-09-06 12:40:07,36.7,49.5,39.8,43.8,42.45
2022-09-06 12:40:09,44.4,44.9,37.0,45.5,42.95
2022-09-06 12:40:11,89.1,89.9,82.8,94.1,88.975
2022-09-06 12:40:13,42.4,45.0,35.6,41.0,41.0
2022-09-06 12:40:15,46.5,35.4,49.5,42.0,43.35
2022-09-06 12:40:17,86.0,82.5,89.8,91.0,87.325
2022-09-06 12:40:19,38.5,48.5,40.0,37.0,41.0
2022-09-06 12:40:21,49.5,58.6,45.0,39.6,48.175
2022-09-06 12:40:23,83.0,81.4,83.5,78.4,81.575
2022-09-06 12:40:25,44.3,45.4,37.6,37.4,41.175
2022-09-06 12:40:27,51.5,50.0,51.0,52.5,51.25
2022-09-06 12:40:29,81.8,80.8,83.0,78.2,80.95
2022-09-06 12:40:31,39.0,46.0,35.7,39.8,40.125
2022-09-06 12:40:33,55.9,58.8,43.7,59.4,54.449999999999996
2022-09-06 12:40:35,71.7,78.8,76.0,75.2,75.425
2022-09-06 12:40:37,91.8,86.9,87.9,87.8,88.60000000000001
