CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,RAM,SWAP,Power TOT,Power GPU,Temp CPU,Temp GPU,Temp AUX,Temp AO,Fan tegra_pwmfan0
39,56,72,31,59,69,6.8,0,0,6697,1558,36.0,35.0,35.0,33.5,54.90196078431372
57,51,34,16,58,27,6.0,0,0,5825,1517,36.0,35.0,35.0,34.0,54.90196078431372
81,18,13,9,23,11,0.0,0,0,5251,1517,36.0,35.0,35.0,33.5,54.90196078431372
81,18,13,9,23,11,0.0,0,0,5251,1517,36.0,35.0,35.0,33.5,54.90196078431372
79,75,79,81,72,69,0.0,0,0,7683,1640,36.5,35.0,35.0,33.5,54.90196078431372
92,100,92,92,84,80,0.0,0,0,7642,1640,37.0,35.0,35.5,34.0,54.90196078431372
45,58,47,61,39,41,1.3,0,0,7261,1764,37.0,35.0,35.5,34.0,54.90196078431372
88,86,88,85,91,89,15.1,0,0,8833,2010,37.5,35.5,35.5,34.0,54.90196078431372
85,82,82,87,86,80,11.8,0,0,9039,2051,37.5,35.5,35.5,34.0,54.90196078431372
78,82,81,76,82,78,8.2,0,0,8710,2010,37.5,36.0,36.0,34.0,54.90196078431372
58,57,53,56,59,56,7.9,0,0,7601,1887,37.0,35.5,36.0,34.0,54.90196078431372
59,61,59,58,65,68,3.1,0,0,7712,1887,37.5,35.5,36.0,34.0,54.90196078431372
75,75,77,76,81,79,6.8,0,0,8916,2010,37.5,35.5,36.0,34.0,54.90196078431372
87,86,89,82,84,86,8.2,0,0,9121,2051,37.5,36.0,36.0,34.0,54.90196078431372
86,87,80,79,80,86,8.5,0,0,8957,2051,38.0,36.0,36.0,34.5,54.90196078431372
86,89,83,79,87,86,5.7,0,0,9080,2051,38.0,36.0,36.0,34.5,54.90196078431372
83,84,82,82,82,81,5.0,0,0,9039,2051,38.0,36.0,36.5,34.0,54.90196078431372
84,81,86,78,79,91,4.6,0,0,9039,2051,38.0,36.0,36.0,34.5,54.90196078431372
86,83,83,90,81,88,10.4,0,0,9162,2092,38.5,36.5,36.5,35.0,54.90196078431372
86,84,83,77,83,84,6.4,0,0,9080,2051,38.0,36.0,36.5,35.0,54.90196078431372
83,77,82,85,79,86,6.9,0,0,8998,2051,38.0,36.5,36.5,35.0,54.90196078431372
87,83,86,81,84,81,4.4,0,0,9039,2051,38.5,36.5,36.5,35.0,54.90196078431372
85,79,81,82,82,87,8.3,0,0,8957,2051,38.5,36.5,36.5,35.0,54.90196078431372
87,78,83,80,81,85,7.2,0,0,8998,2051,38.0,36.5,36.5,35.0,54.90196078431372
85,85,81,79,87,86,1.5,0,0,9162,2051,38.5,36.5,36.5,35.0,54.90196078431372
78,79,79,84,83,87,7.1,0,0,8957,2051,38.5,36.5,36.5,35.0,54.90196078431372
83,86,80,83,77,88,13.9,0,0,8998,2051,38.5,36.5,36.5,35.0,54.90196078431372
82,89,82,78,82,81,4.4,0,0,9080,2051,39.0,36.5,37.0,35.5,54.90196078431372
82,89,82,78,82,81,4.4,0,0,9080,2051,39.0,36.5,37.0,35.5,54.90196078431372
87,83,84,79,85,85,4.7,0,0,9039,2051,39.0,36.5,36.5,35.5,54.90196078431372
83,82,80,82,83,83,9.3,0,0,9080,2051,39.0,37.0,37.0,35.5,54.90196078431372
85,82,85,80,86,84,1.0,0,0,9039,2051,39.0,36.5,37.0,35.5,54.90196078431372
81,83,86,80,87,88,1.1,0,0,8998,2051,39.0,37.0,37.0,35.5,54.90196078431372
83,87,80,79,77,84,9.4,0,0,8957,2051,39.0,37.0,37.0,35.5,54.90196078431372
81,85,88,82,80,83,8.8,0,0,9039,2051,39.0,37.0,37.0,35.5,54.90196078431372
83,82,84,87,85,88,6.7,0,0,9121,2051,39.5,37.0,37.0,35.5,54.90196078431372
86,86,81,83,83,82,4.3,0,0,9039,2051,39.5,37.0,37.5,35.5,54.90196078431372
84,83,83,81,81,85,3.6,0,0,8998,2051,39.0,37.0,37.0,35.5,54.90196078431372
86,78,84,85,81,86,6.2,0,0,9039,2051,39.5,37.5,37.5,36.0,54.90196078431372
82,83,82,84,80,87,3.3,0,0,9039,2051,39.0,37.5,37.5,36.0,54.90196078431372
87,87,86,90,86,89,8.0,0,0,9080,2051,39.5,37.5,37.5,36.0,54.90196078431372
90,98,86,98,95,95,1.2,0,0,8217,1681,39.0,37.5,37.5,36.0,54.90196078431372
