CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,RAM,SWAP,Power TOT,Power GPU,Temp CPU,Temp GPU,Temp AUX,Temp AO,Fan tegra_pwmfan0
97,51,17,35,19,35,6.3,0,0,6112,1517,35.0,34.0,34.0,33.0,54.90196078431372
86,40,27,23,33,53,0.0,0,0,5415,1476,35.0,34.0,34.5,33.0,54.90196078431372
100,16,6,9,4,9,0.0,0,0,4840,1474,34.5,34.0,34.5,33.0,54.90196078431372
99,13,8,7,11,13,0.0,0,0,5415,1474,35.0,34.0,34.5,32.5,54.90196078431372
70,7,35,4,9,10,0.0,0,0,5292,1476,35.0,34.0,34.5,33.0,54.90196078431372
86,25,18,7,7,11,0.0,0,0,5251,1517,35.0,34.0,34.5,33.0,54.90196078431372
17,11,24,46,45,17,1.0,0,0,5661,1517,35.0,34.5,34.5,33.0,54.90196078431372
99,94,93,72,88,90,0.0,0,0,7313,1640,36.0,34.5,34.5,33.0,54.90196078431372
94,97,76,70,81,83,17.2,0,0,6727,1599,35.5,34.5,34.5,33.0,54.90196078431372
65,40,95,46,47,73,0.0,0,0,6768,1558,36.0,34.5,34.5,33.0,54.90196078431372
50,45,29,35,53,32,0.0,0,0,5333,1556,35.0,34.5,34.5,33.0,54.90196078431372
58,69,54,60,83,66,0.0,0,0,7384,1681,36.0,34.5,35.0,33.0,54.90196078431372
71,54,45,41,56,39,1.0,0,0,6768,1681,35.5,34.5,35.0,33.0,54.90196078431372
72,70,50,29,35,34,7.9,0,0,6235,1640,35.5,34.5,34.5,33.0,54.90196078431372
79,48,44,34,35,34,6.8,0,0,6358,1681,35.5,34.5,34.5,33.0,54.90196078431372
76,46,30,33,39,38,7.1,0,0,6112,1640,35.5,34.5,34.5,33.0,54.90196078431372
76,46,30,33,39,38,7.1,0,0,6112,1640,35.5,34.5,34.5,33.0,54.90196078431372
26,22,21,21,23,20,0.0,0,0,5251,1597,35.0,34.5,35.0,33.5,54.90196078431372
15,18,30,14,16,21,0.0,0,0,4963,1556,35.0,34.5,35.0,33.0,54.90196078431372
38,32,33,35,37,38,7.6,0,0,6686,1720,36.0,34.5,35.0,33.0,54.90196078431372
35,31,36,33,33,33,1.0,0,0,6235,1681,36.0,34.5,35.0,33.0,54.90196078431372
31,32,32,33,34,31,7.7,0,0,5989,1681,35.5,34.5,35.0,33.5,54.90196078431372
52,36,46,40,44,44,8.1,0,0,7015,1764,36.0,35.0,35.0,33.5,54.90196078431372
67,57,60,56,58,56,12.3,0,0,7478,1805,36.5,35.0,35.0,33.5,54.90196078431372
55,56,55,53,58,56,7.6,0,0,7436,1805,36.5,35.0,35.0,33.5,54.90196078431372
58,53,50,55,59,55,3.6,0,0,7179,1764,36.0,35.0,35.0,33.5,54.90196078431372
62,59,59,55,57,55,7.3,0,0,7343,1805,36.5,35.0,35.0,33.5,54.90196078431372
59,56,50,54,58,57,7.9,0,0,7425,1805,36.5,35.0,35.0,33.5,54.90196078431372
65,48,45,47,47,64,0.0,0,0,6235,1638,36.0,35.0,35.5,33.5,54.90196078431372
100,7,5,6,5,100,0.0,0,0,4512,1474,35.5,34.5,35.0,33.5,54.90196078431372
98,10,15,11,13,95,4.5,0,0,5169,1558,36.0,35.0,35.0,33.5,54.90196078431372
14,13,14,16,16,16,0.0,0,0,4840,1558,35.5,35.0,35.0,33.5,54.90196078431372
12,15,15,16,12,12,0.0,0,0,4840,1558,35.5,34.5,35.0,33.5,54.90196078431372
37,48,38,37,45,38,3.3,0,0,6727,1723,36.0,35.0,35.0,33.5,54.90196078431372
42,42,40,33,38,40,6.7,0,0,6522,1723,36.5,35.0,35.0,34.0,54.90196078431372
45,38,40,38,40,43,8.5,0,0,6399,1723,36.0,35.0,35.0,33.5,54.90196078431372
51,48,50,50,50,50,6.0,0,0,7097,1764,36.5,35.0,35.5,33.5,54.90196078431372
56,58,55,57,60,58,8.1,0,0,7384,1805,36.5,35.0,35.5,33.5,54.90196078431372
55,57,60,53,56,51,7.9,0,0,7272,1805,36.5,35.0,35.5,34.0,54.90196078431372
55,57,60,53,56,51,7.9,0,0,7272,1805,36.5,35.0,35.5,34.0,54.90196078431372
