CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,RAM,SWAP,Power TOT,Power GPU,Temp CPU,Temp GPU,Temp AUX,Temp AO,Fan tegra_pwmfan0
23,68,11,9,24,34,0.0,0,0,5497,1476,33.0,31.5,32.0,30.0,54.90196078431372
23,68,11,9,24,34,0.0,0,0,5497,1476,33.0,31.5,32.0,30.0,54.90196078431372
36,24,22,42,54,20,0.0,0,0,5456,1517,33.0,31.5,32.0,30.5,54.90196078431372
36,24,22,42,54,20,0.0,0,0,5456,1517,33.0,31.5,32.0,30.5,54.90196078431372
99,92,91,79,85,77,0.0,0,0,7384,1599,33.5,31.5,32.5,30.5,54.90196078431372
41,39,44,62,55,40,2.3,0,0,7220,1764,33.5,32.0,32.5,30.5,54.90196078431372
84,87,82,87,92,86,3.6,0,0,8751,2010,34.0,32.0,32.5,30.5,54.90196078431372
83,87,82,85,80,79,12.5,0,0,8916,2010,34.5,32.0,32.5,31.0,54.90196078431372
85,80,84,85,85,88,4.2,0,0,8957,2010,34.5,32.5,32.5,30.5,54.90196078431372
82,82,81,79,81,73,8.5,0,0,8081,1887,34.0,32.0,33.0,31.0,54.90196078431372
16,14,16,17,8,14,0.0,0,0,5045,1597,33.5,32.5,32.5,31.0,54.90196078431372
13,14,15,14,10,22,0.0,0,0,4881,1556,33.0,32.0,32.5,31.0,54.90196078431372
61,64,61,60,60,58,4.8,0,0,8245,1928,34.0,32.5,33.0,31.0,54.90196078431372
89,78,78,86,82,84,11.0,0,0,8833,2010,34.5,32.5,33.0,31.0,54.90196078431372
83,75,73,79,86,82,7.5,0,0,8833,2010,35.0,32.5,33.0,31.0,54.90196078431372
81,85,86,86,85,86,6.6,0,0,8957,2051,35.0,33.0,33.0,31.0,54.90196078431372
82,84,82,82,81,81,6.5,0,0,9039,2051,35.0,33.0,33.0,31.5,54.90196078431372
81,82,85,81,83,80,10.3,0,0,8998,2010,35.0,33.0,33.5,31.5,54.90196078431372
86,86,85,83,80,84,10.3,0,0,8957,2051,35.0,33.0,33.5,31.5,54.90196078431372
86,84,86,81,88,78,2.7,0,0,8998,2051,35.0,33.0,33.5,31.5,54.90196078431372
85,76,86,82,87,79,10.6,0,0,8957,2051,35.0,33.5,33.5,31.5,54.90196078431372
86,75,78,78,82,77,1.0,0,0,8491,1969,34.5,33.0,33.5,32.0,54.90196078431372
60,47,54,53,58,53,1.0,0,0,7507,1846,35.0,33.5,34.0,32.0,54.90196078431372
55,53,53,53,61,57,7.3,0,0,7466,1846,35.0,33.5,34.0,32.0,54.90196078431372
71,76,70,65,78,79,4.4,0,0,8710,2010,35.5,33.5,34.0,32.0,54.90196078431372
85,82,85,89,85,83,13.5,0,0,9039,2051,35.5,33.5,34.0,32.0,54.90196078431372
85,81,87,79,76,84,4.6,0,0,9039,2051,36.0,33.5,34.0,32.0,54.90196078431372
88,82,80,88,79,81,6.0,0,0,9080,2051,36.0,33.5,34.0,32.0,54.90196078431372
80,78,83,83,86,84,6.5,0,0,8998,2051,36.0,34.0,34.0,32.5,54.90196078431372
82,81,85,83,83,85,6.4,0,0,8916,2051,36.0,34.0,34.0,32.5,54.90196078431372
85,83,83,84,83,84,5.6,0,0,8957,2051,36.0,34.0,34.5,32.5,54.90196078431372
84,85,84,79,84,83,16.7,0,0,8998,2051,36.0,34.0,34.5,32.5,54.90196078431372
82,83,80,87,80,83,0.0,0,0,8957,2051,36.0,34.0,34.5,32.5,54.90196078431372
82,83,78,85,79,88,8.0,0,0,9039,2051,36.0,34.0,34.5,32.5,54.90196078431372
84,85,86,78,79,84,11.1,0,0,9039,2051,36.0,34.5,34.5,32.5,54.90196078431372
79,82,84,74,87,87,8.7,0,0,8957,2051,36.0,34.5,34.5,33.0,54.90196078431372
91,84,88,82,77,86,7.8,0,0,9039,2051,36.5,34.5,34.5,33.0,54.90196078431372
74,82,84,81,86,87,8.3,0,0,8998,2051,36.5,34.5,35.0,33.0,54.90196078431372
79,83,87,84,74,86,7.2,0,0,9039,2051,36.5,34.5,35.0,33.0,54.90196078431372
82,83,81,81,84,84,8.3,0,0,8957,2051,36.5,34.5,35.0,33.0,54.90196078431372
86,88,84,82,82,88,9.3,0,0,9162,2051,37.0,35.0,35.0,33.0,54.90196078431372
88,79,78,76,83,84,6.0,0,0,8998,2051,37.0,35.0,35.0,33.5,54.90196078431372
85,82,82,81,85,83,6.1,0,0,8998,2051,37.0,35.0,35.0,33.5,54.90196078431372
84,82,84,85,81,84,9.3,0,0,9080,2051,37.0,35.0,35.5,33.5,54.90196078431372
85,80,82,78,77,83,9.1,0,0,8957,2051,37.0,35.0,35.0,33.5,54.90196078431372
89,84,84,84,75,81,2.6,0,0,8957,2051,37.0,35.0,35.0,33.0,54.90196078431372
84,82,80,79,84,85,7.7,0,0,8998,2051,37.0,35.0,35.5,33.5,54.90196078431372
82,83,83,77,82,84,8.6,0,0,9162,2051,37.0,35.5,35.5,33.5,54.90196078431372
83,81,83,82,80,88,7.0,0,0,9039,2051,37.0,35.0,35.5,33.5,54.90196078431372
85,82,87,78,81,81,8.1,0,0,9080,2051,37.5,35.5,35.5,33.5,54.90196078431372
82,81,82,85,84,88,3.4,0,0,9080,2051,37.0,35.5,35.5,33.5,54.90196078431372
90,88,77,88,83,81,9.3,0,0,9080,2051,37.0,35.5,35.5,34.0,54.90196078431372
79,79,81,83,83,85,4.0,0,0,8998,2051,37.0,35.5,35.5,34.0,54.90196078431372
86,79,83,80,82,82,0.0,0,0,8998,2051,37.5,35.5,35.5,34.0,54.90196078431372
85,86,82,76,76,84,8.3,0,0,8957,2051,38.0,35.5,36.0,34.0,54.90196078431372
87,78,82,81,84,90,2.3,0,0,8998,2051,37.5,36.0,36.0,34.0,54.90196078431372
79,80,85,80,79,82,4.3,0,0,8957,2051,37.5,35.5,36.0,34.0,54.90196078431372
89,89,80,78,88,80,6.3,0,0,8998,2051,37.5,36.0,36.0,34.0,54.90196078431372
