CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,RAM,SWAP,Power TOT,Power GPU,Temp CPU,Temp GPU,Temp AUX,Temp AO,Fan tegra_pwmfan0
27,35,44,34,39,16,0.0,0,0,5743,1517,36.5,35.5,35.5,34.0,54.90196078431372
27,35,44,34,39,16,0.0,0,0,5743,1517,36.5,35.5,35.5,34.0,54.90196078431372
32,25,29,31,14,51,0.0,0,0,5251,1517,36.0,35.0,35.5,34.0,54.90196078431372
32,25,29,31,14,51,0.0,0,0,5251,1517,36.0,35.0,35.5,34.0,54.90196078431372
91,89,96,95,100,91,4.1,0,0,7724,1640,37.0,35.5,35.5,34.0,54.90196078431372
28,29,35,64,69,29,0.0,0,0,5866,1597,36.5,35.0,35.5,34.0,54.90196078431372
71,69,63,73,75,72,4.7,0,0,7466,1805,37.0,35.5,35.5,34.0,54.90196078431372
58,55,57,55,61,57,7.7,0,0,7478,1805,37.0,35.5,35.5,34.0,54.90196078431372
57,60,57,58,64,53,6.9,0,0,7272,1805,37.0,35.5,35.5,34.5,54.90196078431372
56,55,56,55,58,54,7.7,0,0,7272,1805,37.0,35.5,35.5,34.0,54.90196078431372
60,56,53,56,56,57,3.1,0,0,7343,1805,37.0,35.5,36.0,34.0,54.90196078431372
54,54,52,53,57,57,6.4,0,0,7179,1805,37.0,35.5,36.0,34.0,54.90196078431372
59,61,53,54,56,58,3.4,0,0,7261,1805,37.0,35.5,35.5,34.0,54.90196078431372
55,55,56,54,60,55,11.4,0,0,7302,1805,37.0,35.5,35.5,34.0,54.90196078431372
57,60,55,50,58,52,8.9,0,0,7261,1805,37.0,36.0,35.5,34.0,54.90196078431372
56,55,55,55,58,56,10.4,0,0,7220,1805,37.0,35.5,36.0,34.0,54.90196078431372
58,56,59,54,57,62,6.3,0,0,7436,1805,37.0,35.5,35.5,34.5,54.90196078431372
55,53,52,55,59,54,6.0,0,0,7190,1805,37.0,36.0,35.5,34.0,54.90196078431372
54,57,54,51,56,53,1.3,0,0,7179,1805,37.0,35.5,36.0,34.0,54.90196078431372
61,60,56,53,56,56,5.0,0,0,7302,1805,37.5,36.0,36.0,34.0,54.90196078431372
53,55,56,52,56,53,10.5,0,0,7138,1805,37.0,35.5,36.0,34.0,54.90196078431372
55,55,51,55,54,56,6.4,0,0,7179,1805,37.5,36.0,36.0,34.5,54.90196078431372
54,57,55,54,62,53,7.1,0,0,7343,1805,37.5,35.5,36.0,34.0,54.90196078431372
54,51,57,54,52,53,8.9,0,0,7138,1805,37.5,36.0,36.0,34.5,54.90196078431372
56,58,61,56,71,62,9.2,0,0,7395,1805,37.5,36.0,36.0,34.5,54.90196078431372
65,52,58,56,58,65,3.5,0,0,7436,1805,37.5,36.0,36.0,34.5,54.90196078431372
59,55,48,56,56,56,7.2,0,0,7179,1805,37.0,36.0,36.0,34.0,54.90196078431372
51,57,55,54,58,53,3.3,0,0,7220,1805,37.5,36.0,36.0,34.5,54.90196078431372
60,57,53,50,58,53,6.1,0,0,7261,1805,37.5,36.0,36.0,34.5,54.90196078431372
56,56,54,52,58,58,2.6,0,0,7220,1805,37.0,36.0,36.0,34.5,54.90196078431372
55,52,53,56,56,53,1.0,0,0,7179,1805,37.5,36.0,36.0,34.5,54.90196078431372
57,62,53,57,59,57,6.9,0,0,7302,1805,37.5,36.0,36.0,34.0,54.90196078431372
55,57,50,52,59,55,5.4,0,0,7190,1805,37.5,36.0,36.0,34.5,54.90196078431372
55,56,55,57,53,53,0.0,0,0,7231,1805,37.5,36.0,36.0,34.5,54.90196078431372
56,56,57,52,60,51,4.7,0,0,7272,1805,37.5,36.0,36.0,34.5,54.90196078431372
53,52,54,51,54,55,8.3,0,0,7138,1805,37.5,36.0,36.0,34.5,54.90196078431372
56,53,56,54,54,57,5.5,0,0,7261,1805,37.5,36.0,36.5,34.5,54.90196078431372
62,53,55,55,57,56,1.4,0,0,7302,1805,38.0,36.0,36.0,34.5,54.90196078431372
56,55,56,58,51,53,6.7,0,0,7179,1805,38.0,36.0,36.0,34.5,54.90196078431372
54,56,53,48,56,59,10.5,0,0,7220,1805,38.0,36.0,36.5,35.0,54.90196078431372
56,54,56,57,55,52,1.2,0,0,7272,1805,37.5,36.0,36.5,34.5,54.90196078431372
56,57,57,54,56,50,4.8,0,0,7272,1805,37.5,36.0,36.5,34.5,54.90196078431372
53,56,52,53,58,55,7.8,0,0,7261,1805,37.5,36.0,36.5,34.5,54.90196078431372
56,60,51,54,59,61,5.7,0,0,7343,1805,38.0,36.0,36.5,34.5,54.90196078431372
54,59,56,56,53,54,4.5,0,0,7261,1805,37.5,36.5,36.5,35.0,54.90196078431372
56,54,52,56,57,50,4.0,0,0,7220,1805,37.5,36.5,36.5,34.5,54.90196078431372
58,57,52,56,58,52,5.3,0,0,7302,1805,38.0,36.0,36.5,35.0,54.90196078431372
55,52,55,57,54,55,7.5,0,0,7220,1805,38.0,36.5,36.5,35.0,54.90196078431372
55,50,56,54,58,55,3.4,0,0,7272,1805,38.0,36.5,36.5,35.0,54.90196078431372
59,49,53,58,57,61,10.5,0,0,7354,1805,38.0,36.5,36.5,35.0,54.90196078431372
65,52,58,55,59,54,10.2,0,0,7261,1805,38.0,36.5,36.5,35.0,54.90196078431372
54,48,52,56,60,55,1.4,0,0,7220,1805,38.0,36.5,36.5,34.5,54.90196078431372
70,64,66,63,66,64,3.1,0,0,7671,1805,38.0,36.5,36.5,35.0,54.90196078431372
62,66,64,65,65,68,5.6,0,0,7630,1805,38.0,36.5,36.5,35.0,54.90196078431372
64,58,60,63,67,63,7.8,0,0,7425,1805,38.0,36.5,36.5,35.0,54.90196078431372
57,56,55,57,54,54,3.4,0,0,7261,1805,38.0,36.5,36.5,35.0,54.90196078431372
53,56,53,55,55,52,5.3,0,0,7272,1805,38.0,36.5,36.5,35.5,54.90196078431372
58,50,56,52,54,53,1.8,0,0,7190,1805,38.0,36.5,36.5,35.0,54.90196078431372
58,59,53,57,57,56,4.6,0,0,7354,1805,38.0,36.5,36.5,35.0,54.90196078431372
57,53,56,55,57,51,8.7,0,0,7261,1805,38.0,36.5,36.5,35.5,54.90196078431372
53,53,56,56,53,57,3.8,0,0,7220,1805,38.0,36.5,36.5,35.5,54.90196078431372
58,57,56,58,54,56,7.6,0,0,7343,1805,38.0,36.5,36.5,35.0,54.90196078431372
55,58,55,54,54,53,2.9,0,0,7179,1805,38.0,36.5,36.5,35.0,54.90196078431372
56,58,57,60,60,53,7.4,0,0,7384,1805,38.5,36.5,37.0,35.5,54.90196078431372
58,59,50,53,59,55,2.7,0,0,7354,1805,38.0,36.5,37.0,35.5,54.90196078431372
56,52,50,59,56,53,7.2,0,0,7231,1805,38.0,36.5,36.5,35.5,54.90196078431372
56,53,56,54,60,52,5.6,0,0,7231,1805,38.0,36.5,36.5,35.5,54.90196078431372
55,56,53,56,58,57,3.5,0,0,7302,1805,38.0,36.5,37.0,35.0,54.90196078431372
57,55,57,54,58,55,5.2,0,0,7261,1805,38.0,36.5,37.0,35.0,54.90196078431372
52,56,55,57,54,54,9.1,0,0,7261,1805,38.5,36.5,37.0,35.0,54.90196078431372
60,55,52,57,56,57,9.1,0,0,7261,1805,38.0,36.5,36.5,35.5,54.90196078431372
55,57,53,52,59,55,9.0,0,0,7179,1805,38.0,36.5,37.0,35.0,54.90196078431372
55,58,53,52,55,56,9.1,0,0,7272,1805,38.0,36.5,37.0,35.5,54.90196078431372
56,57,56,53,62,56,7.3,0,0,7272,1805,38.5,37.0,37.0,35.0,54.90196078431372
57,49,57,50,59,56,9.1,0,0,7313,1805,38.5,36.5,36.5,35.5,54.90196078431372
50,55,54,53,55,53,5.8,0,0,7179,1805,38.0,37.0,37.0,35.5,54.90196078431372
58,57,57,58,54,53,7.1,0,0,7220,1805,38.0,37.0,36.5,35.0,54.90196078431372
52,55,49,54,57,55,5.2,0,0,7220,1805,38.5,36.5,37.0,35.5,54.90196078431372
62,58,52,49,55,54,6.1,0,0,7261,1805,38.5,36.5,37.0,35.5,54.90196078431372
63,53,54,55,59,53,2.6,0,0,7261,1805,38.5,37.0,37.0,35.5,54.90196078431372
53,57,52,54,55,57,7.3,0,0,7231,1805,38.5,37.0,37.0,35.5,54.90196078431372
53,55,58,55,59,52,7.2,0,0,7313,1805,38.5,37.0,37.0,35.5,54.90196078431372
58,57,57,55,57,54,5.3,0,0,7354,1805,38.5,37.0,37.0,35.5,54.90196078431372
52,58,56,57,54,54,5.2,0,0,7220,1805,38.0,37.0,37.0,35.5,54.90196078431372
58,57,55,53,60,52,5.8,0,0,7302,1805,38.5,37.0,37.0,35.5,54.90196078431372
56,52,53,53,59,57,4.7,0,0,7261,1805,38.5,37.0,37.0,35.5,54.90196078431372
49,55,59,52,56,55,5.2,0,0,7179,1805,38.5,37.0,37.0,35.5,54.90196078431372
58,51,56,54,53,58,5.6,0,0,7261,1805,38.5,37.0,37.0,35.5,54.90196078431372
58,55,59,56,55,60,7.1,0,0,7354,1805,38.5,37.0,37.0,35.5,54.90196078431372
58,57,53,52,60,55,7.7,0,0,7272,1805,38.5,37.0,37.0,35.5,54.90196078431372
54,53,52,57,59,56,3.2,0,0,7313,1805,38.5,37.0,37.5,35.5,54.90196078431372
54,50,57,58,61,56,8.3,0,0,7343,1805,38.5,37.0,37.0,35.5,54.90196078431372
52,52,57,55,55,54,6.2,0,0,7261,1805,38.5,37.0,37.0,35.5,54.90196078431372
68,64,67,71,67,70,3.4,0,0,7630,1805,38.5,37.0,37.0,35.5,54.90196078431372
