CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,RAM,SWAP,Power TOT,Power GPU,Temp CPU,Temp GPU,Temp AUX,Temp AO,Fan tegra_pwmfan0
99,100,97,99,100,98,7.2,0,0,8286,1681,37.0,35.0,35.5,34.0,54.90196078431372
25,24,23,23,24,23,10.7,0,0,8751,1969,40.0,37.5,38.0,36.0,54.90196078431372
96,92,93,92,92,88,11.9,0,0,8875,1928,40.0,38.0,38.0,36.5,54.90196078431372
93,94,92,91,90,90,5.4,0,0,8875,1928,40.0,38.0,38.0,36.5,54.90196078431372
87,86,84,86,85,83,8.4,0,0,8710,1969,40.0,38.0,38.0,36.0,54.90196078431372
80,83,80,81,84,86,15.5,0,0,8669,1928,40.0,38.0,38.5,36.0,54.90196078431372
86,81,78,82,82,85,14.5,0,0,8710,1969,40.0,38.0,38.0,36.5,54.90196078431372
81,82,78,83,85,83,8.2,0,0,8628,1969,40.5,38.0,38.5,36.5,54.90196078431372
85,81,81,79,82,79,12.7,0,0,8628,1969,40.0,38.0,38.0,36.5,54.90196078431372
86,83,85,81,79,81,6.7,0,0,8628,1928,40.0,38.0,38.5,36.5,54.90196078431372
88,82,80,84,82,82,7.7,0,0,8710,1969,40.0,38.5,38.5,36.5,54.90196078431372
86,85,79,84,84,79,11.7,0,0,8710,1969,40.5,38.0,38.5,36.5,54.90196078431372
83,80,80,83,85,81,8.3,0,0,8669,1969,40.5,38.0,38.5,36.5,54.90196078431372
86,84,83,82,82,83,4.6,0,0,8751,1969,40.5,38.5,38.5,37.0,54.90196078431372
80,84,83,82,88,84,8.8,0,0,8792,1969,40.5,38.5,38.5,36.5,54.90196078431372
81,87,82,84,84,80,13.6,0,0,8710,1969,40.5,38.5,38.5,36.5,54.90196078431372
85,84,80,84,82,87,3.2,0,0,8710,1969,40.5,38.5,38.5,36.5,54.90196078431372
83,84,82,83,81,85,15.0,0,0,8710,1969,40.5,38.5,38.5,37.0,54.90196078431372
85,82,81,82,82,82,15.0,0,0,8669,1969,40.5,38.5,38.5,37.0,54.90196078431372
87,84,82,79,82,80,15.5,0,0,8710,1969,40.5,38.5,38.5,37.0,54.90196078431372
87,84,79,80,82,83,8.9,0,0,8710,1969,41.0,38.0,38.5,37.0,54.90196078431372
85,82,80,83,81,82,17.7,0,0,8751,1969,40.5,38.5,38.5,37.0,54.90196078431372
82,82,80,82,85,85,9.5,0,0,8751,1969,40.5,38.5,38.5,37.0,54.90196078431372
83,82,85,82,82,80,12.2,0,0,8710,1969,40.5,38.5,38.5,37.0,54.90196078431372
83,84,81,85,80,85,10.7,0,0,8751,1969,40.5,38.5,38.5,37.0,54.90196078431372
83,82,80,89,78,83,9.4,0,0,8669,1969,40.5,38.5,38.5,37.0,54.90196078431372
83,83,78,78,80,81,8.8,0,0,8546,1928,41.0,38.5,38.5,37.0,54.90196078431372
80,84,79,81,78,81,6.2,0,0,8505,1928,40.5,38.5,38.5,37.0,54.90196078431372
80,81,82,84,77,79,10.2,0,0,8546,1928,40.5,38.5,39.0,37.0,54.90196078431372
84,81,81,84,81,82,6.2,0,0,8669,1969,40.5,38.5,39.0,37.5,54.90196078431372
88,84,81,86,84,85,19.3,0,0,8751,1969,40.5,38.5,38.5,37.5,54.90196078431372
85,85,80,81,83,86,13.1,0,0,8710,1969,40.5,38.5,38.5,37.0,54.90196078431372
89,83,83,81,82,83,1.4,0,0,8628,1972,41.0,38.5,38.5,37.0,54.90196078431372
83,82,84,82,78,81,1.2,0,0,8628,1931,41.0,38.5,39.0,37.5,54.90196078431372
88,85,80,81,80,83,7.2,0,0,8628,1931,41.0,38.5,39.0,37.5,54.90196078431372
85,82,80,84,79,81,9.5,0,0,8587,1931,41.0,38.5,38.5,37.5,54.90196078431372
81,79,83,85,85,83,6.0,0,0,8587,1931,41.0,38.5,39.0,37.5,54.90196078431372
87,86,81,80,81,80,9.7,0,0,8587,1969,40.5,38.5,39.0,37.5,54.90196078431372
81,79,80,82,82,82,3.6,0,0,8546,1928,40.5,39.0,39.0,37.5,54.90196078431372
80,81,83,83,80,80,11.8,0,0,8546,1928,41.0,39.0,39.0,37.5,54.90196078431372
80,79,77,89,81,82,6.1,0,0,8587,1972,41.0,38.5,39.0,37.5,54.90196078431372
81,84,84,84,83,81,10.8,0,0,8628,1969,41.0,39.0,39.0,37.5,54.90196078431372
84,81,80,83,83,84,9.3,0,0,8587,1931,41.0,38.5,39.0,37.0,54.90196078431372
83,83,81,83,77,83,10.4,0,0,8587,1969,41.0,39.0,39.0,37.5,54.90196078431372
87,84,79,84,80,80,7.5,0,0,8628,1972,41.0,39.0,39.0,37.5,54.90196078431372
81,86,79,83,82,84,7.3,0,0,8628,1969,41.0,39.0,39.0,37.5,54.90196078431372
88,81,86,81,79,79,8.7,0,0,8587,1931,41.0,39.0,39.0,37.5,54.90196078431372
84,80,81,82,83,80,8.1,0,0,8587,1931,41.5,39.0,39.0,37.5,54.90196078431372
85,81,83,79,82,82,14.9,0,0,8669,1969,41.0,39.0,39.0,37.5,54.90196078431372
86,87,81,83,85,82,14.0,0,0,8669,1972,41.0,39.0,39.5,37.5,54.90196078431372
